Circuit: * \\r5server\Mark\Altium Projects\150WLEDDriver_LT3756-2\LTspice sim\LT3756-2_boost160w_seoul_pwm.asc

WARNING: Less than two connections to node NC_01.  This node is used by V2.
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00285384 to 0.00285385
Heightened Def Con from 0.00361005 to 0.00361005
Heightened Def Con from 0.00374108 to 0.00374109
Heightened Def Con from 0.00383308 to 0.00383308
Heightened Def Con from 0.00386268 to 0.00386268
Heightened Def Con from 0.00446536 to 0.00446536
Heightened Def Con from 0.0051512 to 0.00515121
Heightened Def Con from 0.00539388 to 0.00539388
Heightened Def Con from 0.00543958 to 0.00543958
Heightened Def Con from 0.00554485 to 0.00554486
Heightened Def Con from 0.00566089 to 0.00566089
Heightened Def Con from 0.00603879 to 0.00603879
Heightened Def Con from 0.00616423 to 0.00616424
Heightened Def Con from 0.00617666 to 0.00617667
Heightened Def Con from 0.00623769 to 0.00623769
Heightened Def Con from 0.00629815 to 0.00629816
Heightened Def Con from 0.00634552 to 0.00634552
Heightened Def Con from 0.00635744 to 0.00635744
Heightened Def Con from 0.00639267 to 0.00639267
Heightened Def Con from 0.00649666 to 0.00649667
Heightened Def Con from 0.00670803 to 0.00670803
Heightened Def Con from 0.00675129 to 0.0067513
Heightened Def Con from 0.00689938 to 0.00689938
Heightened Def Con from 0.00696177 to 0.00696177
Heightened Def Con from 0.00698242 to 0.00698243
Heightened Def Con from 0.00699266 to 0.00699267
Heightened Def Con from 0.00701315 to 0.00701315
Heightened Def Con from 0.00702312 to 0.00702312
Heightened Def Con from 0.00707356 to 0.00707356
Heightened Def Con from 0.00725027 to 0.00725027
Heightened Def Con from 0.00751286 to 0.00751286
Heightened Def Con from 0.00769093 to 0.00769093
Heightened Def Con from 0.00769946 to 0.00769946
Heightened Def Con from 0.00777731 to 0.00777731
Heightened Def Con from 0.0079045 to 0.00790451
Heightened Def Con from 0.00792124 to 0.00792124
Heightened Def Con from 0.0079468 to 0.0079468
Heightened Def Con from 0.008071 to 0.008071
Heightened Def Con from 0.00811969 to 0.00811969
Heightened Def Con from 0.00813611 to 0.00813611
