Circuit: * C:\GitHub\MarkHarris\sim\LT3756-2_boost160w_seoul_with_pwm.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00324374 to 0.00324375
Heightened Def Con from 0.00503556 to 0.00503556
Heightened Def Con from 0.00568977 to 0.00568977
Heightened Def Con from 0.00573186 to 0.00573186
Heightened Def Con from 0.00602591 to 0.00602591
Heightened Def Con from 0.00603881 to 0.00603881
Heightened Def Con from 0.00611479 to 0.00611479
Heightened Def Con from 0.00615216 to 0.00615216
Heightened Def Con from 0.00618914 to 0.00618914
Heightened Def Con from 0.00657888 to 0.00657888
Heightened Def Con from 0.00660137 to 0.00660138
Heightened Def Con from 0.00662371 to 0.00662371
Heightened Def Con from 0.00668935 to 0.00668936
Heightened Def Con from 0.00672189 to 0.00672189
Heightened Def Con from 0.00673278 to 0.00673279
Heightened Def Con from 0.00702054 to 0.00702054
Heightened Def Con from 0.00708072 to 0.00708072
Heightened Def Con from 0.00719842 to 0.00719842
Heightened Def Con from 0.00721768 to 0.00721769
Heightened Def Con from 0.007564 to 0.007564
Heightened Def Con from 0.00767108 to 0.00767109
Heightened Def Con from 0.00809864 to 0.00809865
Heightened Def Con from 0.00813994 to 0.00813995
Heightened Def Con from 0.00814779 to 0.00814779
Heightened Def Con from 0.00818045 to 0.00818045
Heightened Def Con from 0.00821268 to 0.00821269
Heightened Def Con from 0.00855386 to 0.00855386
Heightened Def Con from 0.00860623 to 0.00860624
Heightened Def Con from 0.00862898 to 0.00862899
Heightened Def Con from 0.00863653 to 0.00863654
Heightened Def Con from 0.0086441 to 0.0086441
Heightened Def Con from 0.00900747 to 0.00900748
Heightened Def Con from 0.00902854 to 0.00902854
Heightened Def Con from 0.00909161 to 0.00909162
Heightened Def Con from 0.00910567 to 0.00910567
Heightened Def Con from 0.00911268 to 0.00911268
Heightened Def Con from 0.00923601 to 0.00923602
Heightened Def Con from 0.00957213 to 0.00957213
Heightened Def Con from 0.00964909 to 0.00964909
Heightened Def Con from 0.00966852 to 0.00966853
Heightened Def Con from 0.00970703 to 0.00970703
Heightened Def Con from 0.00971989 to 0.00971989
