x,y,layer1,layer2,voltage1,voltage2,current
47.7217,31.0185,TOP_LAYER,LAYER_1,0.0365704,0.0365704,-5.99653e-05
47.7217,31.0185,LAYER_1,LAYER_2,0.0365704,0.0365704,-6.06681e-05
47.7217,31.0185,LAYER_2,BOTTOM_LAYER,0.0365704,0.0365704,-6.06681e-05
47.7217,1920.78,TOP_LAYER,LAYER_1,0.0365654,0.0365654,2.61027e-05
47.7217,1920.78,LAYER_1,LAYER_2,0.0365654,0.0365655,-4.03907e-05
47.7217,1920.78,LAYER_2,BOTTOM_LAYER,0.0365655,0.0365655,-4.03907e-05
64.6229,329.078,TOP_LAYER,LAYER_1,0.0365699,0.0365699,-6.51689e-05
64.6229,329.078,LAYER_1,LAYER_2,0.0365699,0.03657,-6.88886e-05
64.6229,329.078,LAYER_2,BOTTOM_LAYER,0.03657,0.03657,-6.88886e-05
64.6229,525.928,TOP_LAYER,LAYER_1,0.0365692,0.0365693,-8.87371e-05
64.6229,525.928,LAYER_1,LAYER_2,0.0365693,0.0365694,-0.000107416
64.6229,525.928,LAYER_2,BOTTOM_LAYER,0.0365694,0.0365694,-0.000107416
103.993,329.078,TOP_LAYER,LAYER_1,0.0365699,0.0365699,-7.07338e-05
103.993,329.078,LAYER_1,LAYER_2,0.0365699,0.03657,-7.3257e-05
103.993,329.078,LAYER_2,BOTTOM_LAYER,0.03657,0.03657,-7.3257e-05
103.993,525.928,TOP_LAYER,LAYER_1,0.0365692,0.0365693,-9.25711e-05
103.993,525.928,LAYER_1,LAYER_2,0.0365693,0.0365694,-0.000111154
103.993,525.928,LAYER_2,BOTTOM_LAYER,0.0365694,0.0365694,-0.000111154
106.777,1546.77,TOP_LAYER,LAYER_1,0.0365657,0.0365657,-8.20272e-05
106.777,1546.77,LAYER_1,LAYER_2,0.0365657,0.0365658,-0.00014703
106.777,1546.77,LAYER_2,BOTTOM_LAYER,0.0365658,0.0365658,-0.00014703
106.777,1605.82,TOP_LAYER,LAYER_1,0.0365656,0.0365656,-5.57325e-05
106.777,1605.82,LAYER_1,LAYER_2,0.0365656,0.0365657,-8.86482e-05
106.777,1605.82,LAYER_2,BOTTOM_LAYER,0.0365657,0.0365657,-8.86482e-05
106.777,1664.88,TOP_LAYER,LAYER_1,0.0365656,0.0365656,-2.0099e-05
106.777,1664.88,LAYER_1,LAYER_2,0.0365656,0.0365656,-4.17263e-05
106.777,1664.88,LAYER_2,BOTTOM_LAYER,0.0365656,0.0365656,-4.17263e-05
106.777,1723.93,TOP_LAYER,LAYER_1,0.0365656,0.0365656,1.01187e-05
106.777,1723.93,LAYER_1,LAYER_2,0.0365656,0.0365656,-3.26032e-05
106.777,1723.93,LAYER_2,BOTTOM_LAYER,0.0365656,0.0365656,-3.26032e-05
143.363,329.078,TOP_LAYER,LAYER_1,0.0365699,0.0365699,-9.3282e-05
143.363,329.078,LAYER_1,LAYER_2,0.0365699,0.03657,-8.67695e-05
143.363,329.078,LAYER_2,BOTTOM_LAYER,0.03657,0.0365701,-8.67695e-05
143.363,525.928,TOP_LAYER,LAYER_1,0.0365693,0.0365693,-0.00011092
143.363,525.928,LAYER_1,LAYER_2,0.0365693,0.0365694,-0.000126968
143.363,525.928,LAYER_2,BOTTOM_LAYER,0.0365694,0.0365694,-0.000126968
165.832,1546.77,TOP_LAYER,LAYER_1,0.0365656,0.0365656,-5.81126e-05
165.832,1546.77,LAYER_1,LAYER_2,0.0365656,0.0365658,-0.000145692
165.832,1546.77,LAYER_2,BOTTOM_LAYER,0.0365658,0.0365658,-0.000145692
165.832,1605.82,TOP_LAYER,LAYER_1,0.0365656,0.0365656,-4.8542e-05
165.832,1605.82,LAYER_1,LAYER_2,0.0365656,0.0365657,-8.22747e-05
165.832,1605.82,LAYER_2,BOTTOM_LAYER,0.0365657,0.0365657,-8.22747e-05
165.832,1664.88,TOP_LAYER,LAYER_1,0.0365655,0.0365656,-1.91621e-05
165.832,1664.88,LAYER_1,LAYER_2,0.0365656,0.0365656,-3.89194e-05
165.832,1664.88,LAYER_2,BOTTOM_LAYER,0.0365656,0.0365656,-3.89194e-05
165.832,1723.93,TOP_LAYER,LAYER_1,0.0365655,0.0365655,-1.28851e-06
165.832,1723.93,LAYER_1,LAYER_2,0.0365655,0.0365655,-3.56783e-05
165.832,1723.93,LAYER_2,BOTTOM_LAYER,0.0365655,0.0365655,-3.56783e-05
182.733,329.078,TOP_LAYER,LAYER_1,0.0365699,0.03657,-0.000163171
182.733,329.078,LAYER_1,LAYER_2,0.03657,0.0365701,-0.000111219
182.733,329.078,LAYER_2,BOTTOM_LAYER,0.0365701,0.0365701,-0.000111219
182.733,525.928,TOP_LAYER,LAYER_1,0.0365693,0.0365693,-0.000159257
182.733,525.928,LAYER_1,LAYER_2,0.0365693,0.0365695,-0.000158739
182.733,525.928,LAYER_2,BOTTOM_LAYER,0.0365695,0.0365695,-0.000158739
222.103,1549.55,TOP_LAYER,LAYER_1,0.0365656,0.0365656,6.84999e-06
222.103,1549.55,LAYER_1,LAYER_2,0.0365656,0.0365657,-0.000125274
222.103,1549.55,LAYER_2,BOTTOM_LAYER,0.0365657,0.0365658,-0.000125274
222.103,1588.92,TOP_LAYER,LAYER_1,0.0365656,0.0365656,-1.48188e-06
222.103,1588.92,LAYER_1,LAYER_2,0.0365656,0.0365657,-7.38034e-05
222.103,1588.92,LAYER_2,BOTTOM_LAYER,0.0365657,0.0365657,-7.38034e-05
222.103,1628.29,TOP_LAYER,LAYER_1,0.0365656,0.0365656,1.09876e-05
222.103,1628.29,LAYER_1,LAYER_2,0.0365656,0.0365656,-5.00571e-05
222.103,1628.29,LAYER_2,BOTTOM_LAYER,0.0365656,0.0365656,-5.00571e-05
222.103,1667.66,TOP_LAYER,LAYER_1,0.0365655,0.0365655,1.94259e-05
222.103,1667.66,LAYER_1,LAYER_2,0.0365655,0.0365656,-3.63607e-05
222.103,1667.66,LAYER_2,BOTTOM_LAYER,0.0365656,0.0365656,-3.63607e-05
222.103,1707.03,TOP_LAYER,LAYER_1,0.0365655,0.0365655,2.73823e-05
222.103,1707.03,LAYER_1,LAYER_2,0.0365655,0.0365655,-3.41762e-05
222.103,1707.03,LAYER_2,BOTTOM_LAYER,0.0365655,0.0365655,-3.41762e-05
222.103,1746.4,TOP_LAYER,LAYER_1,0.0365654,0.0365654,5.85726e-05
222.103,1746.4,LAYER_1,LAYER_2,0.0365654,0.0365655,-4.73321e-05
222.103,1746.4,LAYER_2,BOTTOM_LAYER,0.0365655,0.0365655,-4.73321e-05
300.843,762.149,TOP_LAYER,LAYER_1,0.0365682,0.0365682,-0.000295828
