vrefdes,vpin,refdes,pin
VCOMP0,0,J1,3
VCOMP0,1,J1,1
VCOMP0,2,J1,2
VCOMP0,3,J1,6
VCOMP0,4,J1,5
VCOMP0,5,J1,4
VCOMP0,6,J1,pdna_pin_M_1
VCOMP0,7,J1,pdna_pin_M_2
VCOMP1,0,J2,3
VCOMP1,1,J2,1
VCOMP1,2,J2,2
VCOMP1,3,J2,6
VCOMP1,4,J2,5
VCOMP1,5,J2,4
VCOMP2,0,D1,1
VCOMP2,1,R11,2
VCOMP3,0,L1,1
VCOMP3,1,R11,1
VCOMP4,0,D1,1
VCOMP4,1,R11,2
VCOMP5,0,D1,1
VCOMP5,1,D1,2
VCOMP6,0,R3,2
VCOMP6,1,R3,1
VCOMP7,0,R11,2
VCOMP7,1,R11,1
VCOMP8,0,IC4,1
VCOMP8,1,IC4,2
VCOMP8,2,IC4,3
VCOMP8,3,IC4,5
VCOMP8,4,IC4,6
VCOMP8,5,IC4,7
VCOMP8,6,IC4,8
